"","LFC","P","Padj","DE","DE_dir","labels","delabel"
"4NV_TH17",0.747026639483174,0.0378,0.0790361445783132,FALSE,"NO","4NV_TH17",NA
"4NV_Th17TO1",0.526048143244529,0.232,0.294945736434109,FALSE,"NO","4NV_Th17TO1",NA
"4NV_TH2",1.8239618180413,0.00132,0.00898962962962963,TRUE,"UP","4NV_TH2","4NV_TH2"
"4NV_TH22",0.667713335648134,0.273,0.330411764705882,FALSE,"NO","4NV_TH22",NA
"4NV+226+",1.53904406339219,0.000233,0.00700376470588235,TRUE,"UP","4NV+226+","4NV+226+"
"4NV+39+",0.762802132051096,0.0882,0.140434951456311,FALSE,"NO","4NV+39+",NA
"4NV+DR+",1.25036555852596,0.0612,0.104720833333333,FALSE,"NO","4NV+DR+",NA
"4NV+PD1+",0.727141629755779,0.0641,0.108273469387755,FALSE,"NO","4NV+PD1+",NA
"4NV+PD-1+TIGIT-",0.743782743309571,0.0807,0.129752941176471,FALSE,"NO","4NV+PD-1+TIGIT-",NA
"4NV+PD-1+TIGIT+",0.693583540474829,0.12,0.175714285714286,FALSE,"NO","4NV+PD-1+TIGIT+",NA
"4NV+PD-1-TIGIT-",1.61028036260367,0.000268,0.00700376470588235,TRUE,"UP","4NV+PD-1-TIGIT-","4NV+PD-1-TIGIT-"
"4NV+PD-1-TIGIT+",1.02740542689639,0.0206,0.0519753846153846,FALSE,"NO","4NV+PD-1-TIGIT+",NA
"4NV+TIGIT+",0.873590442653775,0.0182,0.0486709677419355,TRUE,"UP","4NV+TIGIT+","4NV+TIGIT+"
"4EM",-3.79142207436677,0.0399,0.0790361445783132,FALSE,"NO","4EM",NA
"4EM_TH1",-5.05206837506331,0.0923,0.14555,FALSE,"NO","4EM_TH1",NA
"4EM_TH17",-3.33949133850866,0.0249,0.0575154929577465,FALSE,"NO","4EM_TH17",NA
"4EM_Th17TO1",-2.98832707015649,0.0768,0.124704950495049,FALSE,"NO","4EM_Th17TO1",NA
"4EM_TH2",-4.77455441463305,0.27,0.330411764705882,FALSE,"NO","4EM_TH2",NA
"4EM_TH22",-1.78258171306576,0.12,0.175714285714286,FALSE,"NO","4EM_TH22",NA
"4EM+226+",-1.36507634497598,0.00118,0.00869913043478261,TRUE,"DOWN","4EM+226+","4EM+226+"
"4EM+39+",-0.85005485845082,0.00368,0.0149942857142857,TRUE,"DOWN","4EM+39+","4EM+39+"
"4EM+DR+",-1.72807403847155,0.00231,0.0105233333333333,TRUE,"DOWN","4EM+DR+","4EM+DR+"
"4EM+PD1+",-1.42236263217015,0.00212,0.00993371428571429,TRUE,"DOWN","4EM+PD1+","4EM+PD1+"
